readout_gene,readout_class,replicate,assay,target_gene,day,shrna,bias,num_reads,cell_density,extra_umi
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.7,181,SMALL DARK SPOTS,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0.773333333,225,SMALL DARK  ,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.83269962,1315,SMALL DARK,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.041666667,72,SMALL DARK SPOTS,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0.114942529,87,SMALL DARK  ,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.001468429,681,SMALL DARK,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.094017094,117,SMALL DARK SPOTS,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0,113,SMALL DARK  ,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.072490706,539,SMALL DARK,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0,131,SMALL DARK SPOTS,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0.0125,160,SMALL DARK  ,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.000946074,1057,SMALL DARK,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.536585366,41,SMALL DARK SPOTS,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0.666666667,49,SMALL DARK  ,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.43768997,659,SMALL DARK,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.309090909,55,SMALL DARK SPOTS,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0.367346939,98,SMALL DARK  ,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.158536585,738,SMALL DARK,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.909090909,77,SMALL DARK SPOTS,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0.824324324,74,SMALL DARK  ,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.878009631,623,SMALL DARK,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,1,66,SMALL DARK SPOTS,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,1,73,SMALL DARK  ,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,1,594,SMALL DARK,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.998846597,869,SMALL DARK SPOTS,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0.997760358,894,SMALL DARK  ,
H2-Ea-ps,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.999357602,4676,SMALL DARK,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,NA,0,SMALL DARK SPOTS,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,NA,0,SMALL DARK  ,
Hdlbp,BAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,NA,0,SMALL DARK,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,1,149,SMALL DARK SPOTS,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,1,98,SMALL DARK  ,
Mecp2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,1,1022,SMALL DARK,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.25,8,SMALL DARK SPOTS,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0,14,SMALL DARK  ,
Ncam2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.003389831,295,SMALL DARK,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.74015748,508,SMALL DARK SPOTS,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0.70018622,537,SMALL DARK  ,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.759031919,2851,SMALL DARK,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,1,37,SMALL DARK SPOTS,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,1,14,SMALL DARK  ,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,1,203,SMALL DARK,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,1,60,SMALL DARK SPOTS,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,1,103,SMALL DARK  ,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0.998778999,819,SMALL DARK,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,1,231,SMALL DARK SPOTS,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,1,197,SMALL DARK  ,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,1,1036,SMALL DARK,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0,6,SMALL DARK SPOTS,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,0,35,SMALL DARK  ,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,0,18,SMALL DARK,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,20uM,0.866666667,15,SMALL DARK SPOTS,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,10uM,1,13,SMALL DARK  ,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,7,1uM,1,78,SMALL DARK,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,1,2,DIFFUSE DEAD,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0.5,2,DIFFUSE LIVE?,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.645833333,48,SPREAD OUT SLIGHTLY DIFFUSE,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,0,1,DIFFUSE DEAD,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0,2,DIFFUSE LIVE?,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.157894737,38,SPREAD OUT SLIGHTLY DIFFUSE,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,0,1,DIFFUSE DEAD,
